,text
59,Liked on its battery and charge life. Ease on ears.Easy to carry in pockets.Sound and bass also microphone is not as expected on quality. Much of noise is not cancelled at all. Its like my voice is also cancelled.Have to keep in full volume to listen to a normal sound music which is not good.My sister had purchased same headset which had in one percent volume a full good quality sound hence I had bought the same one.But I did not in same quality as my sister had got.I had no choice but to adjust with it.The quality changes when you make up as a brand that is what I had realised.Bit disappointed as music was my most happiness and I was worth to pay anything which is fair price for a headset and to its quality.But not expected enough on it.Thank you!
60,"Sound quality Nice , bass quality very good and battery backup is long time."
61,I just love the product 😍
62,Sound quality is too decent. Iam disappointed by the boat companies sound
63,
64,Good for a short time use
65,Good Quality and Fast Service
66,"Sound quality, noise cancellation and bass all are good..But case cap is loose"
67,Left side earbud is not working
68,Sound quality is fine but the bass is not upto the expectation. Case is light and easy to handle.
69,Good for listening music but not in calls .
70,"I'm not satisfied with.. The charging case quality.. Coz.. When I open it.. It seems like.. A local product but.. All other things are.."" More than sufficient """
71,Everything is fine! Missing some clarity in sound & material quality is poor.
72,Old smart phone like j7 max u have to update phone then it's all ur's. nice product.
73,
74,"It has sound difference between left and right, Bluetooth coverage is less"
75,
76,Easy to carry
77,Price is Low as per product.
78,"It is very awesome productIt is also in budget in every men, its size is small so it is very comfortable in ears sound quality is too good 👍"
79,The mic isn't so good and quality ain't worth it but it's ok at this rate
80,Value for monnyNot best average
81,Great sound quality and design ...Boat products never disappoint.
82,Good quality sound.
83,Sound quality is good but bass is less
84,It's size is Big but okay at all
85,I really like these buds. They are very comfortable in my ears and I dont have to worry about it slipping out at all. That used to be a probem with my previous buds
86,Sound not come in right side airpod properly
87,Thank you so much Amazon for deliver this product and this I loved the product and its everything is perfect and I loved the sound quality it's too much awesome
88,
89,
90,Good product
91,I liked a product
92,"I really liked this product when I fort got it it worked for 3 months straight witness no issues at all . But then suddenly one side stopped working and then the other and then the whole main thing of the product the earphones stopped working now, I don't know that if mine was defective or something it stooped working real quick but if it was a defective one it's ok and if u are thinking of buying this GO FOR IT!! Because the time being when they worked they were really great ✌"
93,Good
94,In this price the product is very good 👍 am very happy to buy this boat airdopes thankyou Amazon ☺️❤️
95,Good one
96,Product to bahut achha hai but mere kan me achhe she nahi run pa raha hai bar bar gir ja raha hai esh liy me wapash karna chah raha hu
97,Like
98,normal h bas thk thk h
99,Sound quality is good.
100,Very nice
101,Noise cancellation should be added
102,"                    The media could not be loaded.
                



 After connected Bluetooth everything is fine when I get call there is no noise only"
103,Product is good and bass also good but Charging is Not good please update charging type COrder this item delivered after 10 day very long time
104,"They are cute but doesn't fit in my ears, they comes out easily i have to push them again n again in my ears which makes them painfull😔Not at all happy wid my purchase and they dont even return😏so i have no choice but to keep them😞Total waste of money plz dnt buy these👎🏻"
105,"Lightweight, sound quality is good. Ofcourse the lcd display to show power percentage is a great feature. Even premium products didn't have such feature. Product plastic quality is average."
106,No notice cancellation others things are good
107,Very nice sound quality
108,Nice product
109,It's a good supplementary product for earpodes. These low budget earpodes are quite good in terms of battery and sound.
110,NA
111,Gud product worth for money 💰 Sound quality ok and bass ok
112,Ok
113,Good product for that money
114,nice product
115,Nice
116,AWESOME........ 👌👏🤩
117,Noise cancelation is not very confined and bass quality also not upto mark..
118,"I like many things so instead talk about what i dont like, we cant talk to somebody in very slow voice as they cant hear us as there is no speaker in it, so yes difference between wireless and wired earphones. Wish these problems can be solved too so we can talk in slow voice too in wireless pods."
119,"Works fine. There is no voice control and the color is not as pretty as advertised. The range is limited. Connectivity breaks up if you are 5 meters away. There is 1 year warranty, charging cable, and spare earbuds inside."
120,Very good sound and music
121,It is very good wort it
122,Na
123,"Good product,Sound quality  - goodNoise cancellation - goodBass quality  - average (in my opinion)"
124,"                    The media could not be loaded.
                "
125,Only the issue is battery it does not go above 80%
126,Good
127,"Sound is good enough, but do not expect noise cancellation in a typical Indian street. The product is good for use within home, and with limited movement. I tried using it while walking/jogging but it loses Bluetooth connectivity and even falls off from your ears. So I'm generally using it while lying on the bed listening to music or making a few calls while strolling on the terrace. The battery lasts enough for my usage of 2-3 days, and the set gets charged quickly, within 30 min-1 hour. Overall, a good product at this price range."
128,Good
129,When used to play music the sound was kinda low but the bass was good it is a good product if you need it for only listing songs or games. I'm a person who has to be on call most of time and many of my callers complained about not being able to hear me properly. My voice used to eco and BG was more audible then my own. I guess this product doesn't support Redmi phones.
130,Good product but no noise cancellation.
131,"Absolutely atrocious design. Pressing the mfb button(the only button it has) is inevitable. U will end up pressing it while trying to adjust it in your ear which, mind you, you're gonna be doing a lot of. The earphones fail to stay in the ear and the fit is bad. Sound quality is decent, nothing too great, but these are not very practical. Buying it at anything more than ₹700-800 is a bad deal."
132,"This is a good earphone for those who just want to listen to songs, watch movies etc. The microphone is really weak. You will have to shout if you want to get your message through while talking."
133,When I got this I tried I felt like the voice is much lesser than the one buds of realme and not at all good for calling zero noice cancellationReturn period was too long
134,"Sound quality is good but there are few interruption when it's away from phone. Microphone quality is not quite good there is no noise cancellation in this hence you cannot talk on a call when you are out or when you are in traffic, or even when you are sitting in a quiet room, the person on other side of call can hear everything around you and believe me it's bad. Talking about Bass quality, it is not so impressive either, well what you can expect in this price range 😅"
135,"One dislike sometimes it sounds very low, but after restarting works normally but overall a good product"
136,"Nice product, avoids noise cancellation"
137,Good product🥰 😍😘
138,"                    The media could not be loaded.
                



 I like the sound quality, and also yhe charging is fast."
139,Good quality price worthy.
140,
141,
142,It's ok for the price( i got it for  Rs.999) Am disappointed as there is a scratch on the percentage display screen. Am being fool into getting a used product👎
143,Lovely product
144,
145,Ok
146,"                    The media could not be loaded.
                



 👍🙂 nice product sound good"
147,This is average product. This is not the quality products at this price point. The main issue is when you click to change track it will create irritation as it will penitrate you ears.
148,"                    The media could not be loaded.
                



 Though I see many negative reviews around here, my product is fairly good. Like, I purchased it before going to hostel, initially they used to fell easily, it fell from even 2 floors, broke into 2 halves, but it was fixed at the same time just by pressing. The charging box also fell a decent number of times, there was time it got loose but it got fixed up without doing anything.Build Quality is good enough 5/5 (for a person like me who's not good at handling phone and earbuds)Mic is just useless (1/5)Sound Quality is decent, good enough (3.5/5)Battery backup lasts for 2-7days atleast. (4.5/5)Bluetooth range is fairly comparable to my headphones. (4/5)Charging indicator is sometimes not accurate (4/5)An earbud can't be better than a headphone. You can still use it for gaming. It has fairly low/decent latency.Value for Money (5/5)"
149,
150,Must buy product
151,Like it
152,"                    The media could not be loaded.
                



 Just got deliver.. Let's see how long it last"
153,nice product
154,Good product in this range. All together average product.
155,Overall Good product at rate.but receaver is slightly weak.
156,The sound quality is great. One charge can last really long.My only problem is that you need to talk louder if you get a call while wearing this. It is expected as there is not mic like in earphones but that was a minor inconvenience.
157,Need to improve their bass and volume of the sound. Even if I play in 10 I hear like playing in 4. This needs to be improved
158,"Overall a v.gud earbuds. Battery backup is good, i only charge once a week or 10 days. Only issue is mic receiver v need be loud enough while on a call."
159,Good but two thing I don't likeIt comes with micro usb type not with type c cable next one one is button type sensors not touch sensor thats it over all good for 999 price and noice cancellation is ok and buds will play only 3 hours ...
160,Sound becomes More Used to
161,Very satisfied to get this earphone in this range. !!Thanks Amazon for suchba lovely productDelivery was prompt
162,Sound is good when listening song but call clearity is not soo good.battery backup is ok.blutooth connectivity range is not soo impressive. Overall a good product.
163,Sound is not that great. You can easily differentiate performance from a good headphones. Noise cancellation is good. I have used it in bus and trains. Problem faced by me was very minimal. Battery is the main usp of this device. Packaging and build quality is also good.
164,With the offered price no other product is as good as this. And Name justifies the quality of product.
165,Sound quality - 5/5Noise cancellation - 5/5Bass quality 5/5Battery backup 5/5Mic 1/5if you're also using/buying to listen to music it's worth all bucks but for calls I'd not suggest you to buy this.
166,Nice
167,Volume should have been more.
168,Writing review after 3 months of regular usage.1. Fairly good sound quality in this price range.2. Bass boosting quality is also good.3. Notice cancellation is really great. Any sound below 120dB (sound of an aeroplane) is blocked.4. The case takes around 2 and half hours to charge from 0% to 100%.5. Each airdope has a runtime of 3 hours or more.6. The case can charge the airdopes for atleast 4 times to 100%.7. Do not use the aordopes while driving or walking on road. It has a great noise cancellation and you wont be able to hear the minimum noisenof traffic which can lead to accident.
169,I like this sound quality is good .i hope this is original.
170,Budget friendly product. Only disadvantage is that the volume is too low to understand.  Ppl at the other end is unable to hear u properly.  Noise cancelation is good but do not use it for too long since it'll give a headache.
171,"                    The media could not be loaded.
                



 Sound quality goodNoise quality goodBass quality good 👍"
172,Sound quality and connection  stuff are good in this earphone but battery back up is pretty poor and it’s gonna degrade further upon using
173,This product is fine for hearing music and online classes.  and not working properly for voice calling.
174,Good sound battery backup extraordinary running time good sound clear noise... everything is good
175,Good...
176,"Sound quality was excellent but the main problem was during taking calls, noise cancellation was not satisfying. This's the drawback"
177,Noise cancellation was not up to Mark
178,Nice product sound quality is more than good battery capacity is ok specially charging case is too sexy in look.
179,Some time music  is not clear and audio clarity is not proper while phone call opposite people can’t able to hear they are saying that your voice is very low talking like your in well
180,very nice product 👍👍
181,Sound quality or good but when you called somebody background noise is too much.
182,Charge and conctivity is super
183,Best
184,"Every thing is good.but sometimes is loses connection,after putting out of the case ."
185,"Charging wire not working since we received, we are using our phone charging wire."
186,Voice calls not audible and very noise. phone Bluetooth connectivity also very poor.
187,Hamming sound is coming while calling I suggest strongly neck band is best
188,Bass is very poor. Okay for office call but not for music lover
189,"I have used Ptron, Noise, Mivi etc brands for airdopes, but I found Boat to be best among all of them.Advantages:Superb mike quality for calling.(I didn't found in any of the brands mentioned above)Sound quality and Noise cancellation is amazing, if you r not a pro gammer and all and want it for daily use or office work or routine songs then go for it. They are best for you.Battery backup is average. one charge can last you for 2 days. It is good for me I m satisfied with this.The design feature is my personal favorite, actually I felt it difficult to put in an out the earpods from box for that long design. but it is more wider and have enough space in box so easier to put in and out.No sensors, no tension of unitended calls, music etc. easy to use.Go for it if you r looking for longer term use and easy use."
190,When on call the other person gets to hear the sound as if I'm calling from beneath the ground. It doesn't eco. It sounds like I'm calling from some muffled-up place.
191,Good quality bass and battery capacity
192,"Bass is lowBut, sounds is goodAnd it fit comfortably"
193,"                    The media could not be loaded.
                



 I like super sound quality"
194,Mic is not too good else it's fine
195,"                    The media could not be loaded.
                



 It's really good in this affordable price with well-known brands sound quality is also good not great but I garanty it no other company will sell this quality of product in this price"
196,Good product at this price!
197,I don't like the design or not worth of money
198,Does not have volume button. M not happy about this
199,Amazing ProductNice Audio QualityWorth itIf wants to buy in this range then go for it....👍
200,Sound very low
201,"                    The media could not be loaded.
                



 No"
202,"                    The media could not be loaded.
                



 I felt good in the earlier days when I bought this product 2 weeks back.Bass is good.Better charging life.But recently i used the pods without charging since 2 days and still it was showing the same 88 percentage charging in the case as before which was shown in the vedio.Please solve my issue via ur reply.Thank you"
203,Mic is not that great..
204,Noise cancellation is very bad .... bass poor Bluetooth connectivity issue
205,"The product is good...hold ears ,but need will slide out after sometime.. Noise cancellation is not just there no noise cancellation is available..!! Overal a good normal gadget for within budget...got them in great Amazon festival sale...good buy..!! Should use and see the potential after some period of time."
206,Sound quality amazing
207,This product is not comfortable in ear so I think if you don't want to check out again and again where the bud is on the place please don't go for itIt is only perfect if used while sitting or lying in your comfort place
208,"The case and the earbuds themselves are just like the Chinese earphones you get on the roadside stalls.case is flimsy, big in size for the earbuds.Sound quality is okay at best. Bass is too much as expected from earbuds at this price.Overall I would recommend going with pTron Bassbuds eon or Oppo Enco series for a decent experience."
209,"                    The media could not be loaded.
                



 This is the product which will fullfill your requirements.Good baseExcellent voice"
210,Easy to handle. But calling quality is poor
211,"                    The media could not be loaded.
                "
212,Good
213,When I call someone I can't hear other person.then I have to remove buds that is the big problem
214,Good product but bass is less. While walking it feels like it can fall as it has loose connection with ear
215,ProsBass is massFitting is goodConsNot suitable for callOnly can use for call in silent placeNot always detectable.. Every time need to put inside a case then only it's connecting
216,Push button Quality is not good . Overall OK .
217,अच्छा है साउंड ज्यादा अच्छा नही
218,No sound quality very bed product
219,Everything's good but my voice isn't clearly audible to other person.
220,Problem in this device
221,Left EarPods stop working within a month. Very disappointed with the purchase. :(Is there any way to replace thé AirPods ?
222,Good product
223,
224,"The speaker quality is poor, product only for listening"
225,Average
226,Good
227,Boat is very good
228,The case come with a battery to charge the ear buds.Good battery for long use in both case and buds .Recommended try before deciding do you really required earbuds or not.
229,Just ok. Little radiation
230,"Everything is ok ok as I got in offer for 999 ,, but the major issue is off there size,, buds are too big that they fall out of ears while running or walking,, noise cancellation is not there,, battery backup is good,, but not worth wasting money seriously,, giving review after use for 1 month ,,"
231,Very nice 👍
232,This product is quality product under the price of 1200.
233,The best airdopes in the market the sound quality and bass is just super and you want to buy in budget just buy it now.In the occasion of indipendence sale i got it for just 1299 but the actual price is 2990 . But this product is made in China so please think before buy. But boat products sound quality is simply super . So overall excelent airdopes in the best price.
234,Low voice
235,Noise are too poor. Samne wale ko ese awaz ATI hai jese earphones se baat kar rahe ho.
236,Medium quality product.
237,Most of the things are good in this product but BASS is not pleasing yet......
238,Sound quality is ok.
239,Good product
240,Ease to Carry wherever we go. Loved this product. This is my second product from Boat. Amazing
241,Ok
242,"It is very small in size, durable, good sound quality, ear friendly does not hurt, but does not have noise cancellation and battery life is also not good."
243,Good quality
244,Liked the productGood product in this price
245,"The grip of air dopes is not good, does not fit in ear"
246,Value for money however calls
247,"I had been using iPhone XR since November 2020 and bought Apple Airpods even before buying this model. Being an audiophile (An audiophile is a person who is enthusiastic about high-fidelity sound reproduction. An audiophile seeks to reproduce the sound of a live musical performance, typically in a room with good acoustics) I love Bluetooth earbuds by Marshall, Apple Inc (Apple Airpods), BOSE and Beats Audio because of balanced bass & treble. I am mostly into blues from the 60s and 70s, hard rock from the 80s, and sometimes country and folk rock musical genres. Hence, finding an alternative to the Apple Airpods within budget was a little difficult until some research and recommendations help me in my purchasing decision. I have always hated deep bass as it muffles background music. But boAt AIRDOPES 121v2 won my heart as it has got balanced treble and bass which is perfectly ideal for the kind of musical genre I am into. Also, my playlist has some dubstep and chill music which also sound great on these earbuds. I have also shared a screenshot of how it connects well with the laptop."
248,So good
249,Too many voice breaks are happening in this even  mobile is near
250,Nice
251,I like this
252,Good
253,"Not value worthy, sound quality is as of local brand."
254,After pairing it with mobile it didi not working p
255,Good
256,No
257,Aawaz bahut kat Kar aati he. Bahut problem hota he.
258,"Starting product is good, this product is not good case is worst, bass is worst"
259,"                    The media could not be loaded.
                



 Nice product"
260,"As per the price it has decent quality. Sound clarity is good, medium bass, feature full. Good for normal listening like YouTube, podcast and voice calls. Heavy bass lovers need to avoid this. To feel the deep bass you need to twist your ears a bit with your hands. Else medium bass. Battery backup is okay.After use for one month I am experiencing bit distortion in sound."
261,Pros:SmallPortableGood Sound QualityNo LagingPlastic but good BuildOnce Charged Works up to 6 HrsCons:Doesn't work when changing positionMicro USB for ChargingBass is Poor
262,"                    The media could not be loaded.
                



 Oneside is not working"
263,👍
264,Call quality very very low
265,Sound quality are good but pods case was shaking
266,The product is good but sound quality is not good.
267,Sound quality is not as good as expected. Good value for money though.
268,Good
269,"Very good earphone at this price. Fits nicely in the ear, easy to pair and has good BT range.Bass is good, tight but not deep. Excellent for music and good for voice calls. It would have been good if the voice during calls had less bass."
270,Bluetooth connectivity good.sound is vry good.
271,Good product in its price range. Don't expect more.
272,Sound not clear during calls... disturbance continuously exist
273,Not so good not so bad
274,Good experience
275,Nothing
276,Noce
277,not good like its brand. Bus 800 mein toh yehi milega. Thode aur paise milkar acha mile jayega. Kam budget ke liye theek rahega.
278,AVERAGE SOUND & BUILT UP QUALITY
279,Ok ok
280,"Music and sound was good but while calling other party does get clear voice due to bad mic, which need to be improved"
281,Mic is not strong for calling
282,Waste of money
283,Performance is good .but after few days I face some faults in either side of bods.sometime right side not working properly  some times left side not working properly.Charging capacity is very good.Well Comfort with ears.
284,Noice not clearly and sound
285,OK GOOD PRODUCTS
286,Super bass
287,"First I bought one on offer price of 999/- (black) but its left earbud stop working after 1 week thn I applied for warenty and they exchange that with a new one...After that I bought this cherry blossom coloured product for my self...I'm writing this after use if 15 days & no problem happens yet. Sound quality & bass is amazing but noise cancellation is not that good, But definitely better than mivi, boult audio, zebronics etc brands noise cancellation.Go for it, but please don't buy on offer price.Although its a good product..loved it ❤️"
288,Sound is good quality
289,Nice
290,Sound quality good
291,Waste of money
292,I’m looking for a service centre to get my ear phones repaired pls help me with phone numbers
293,
294,Good
295,"On16 February 2022 I bought this product , unfortunately now the charging port is gone inside of the box. So now what to do ? Will it long-lasting only for 6 month's ,then it's not a worthy product isn't."
296,Sound quality is good but if you want to only listen to music then buy this product. Those who want to use this product for voice calling pls don't buy as it doesn't catch the voice properly.
297,1 am not satisfied
298,"                    The media could not be loaded.
                



 Back no sencer tuch batan available"
299,"Good for music only but if calls, front person could not able to here you"
300,Writing a review after using it for 3 weeks. These are hands down the best for this price range. Sound quality is very good if u are using it for music. Calls are pretty decent too. The other person can hear you clearly. You can go for it. It has an amazing battery life too. But make sure u read the instructions for charging. Do not listen to people who are hating this product. It's very very decent.
301,Ear phone material is plastic and it break easily apart from that is good in this price
302,"All kind of Bluetooth headset have mic issue, range should be good otherwise waste to use"
303,Iske song quality behtarin hai
304,Sounds good. Sometimes connection has issues but other than that it's a good product
305,well it is very useful due to its noise cancellation
306,Overall good battery life and base. Just  pairing issue with macbook.
307,Bass not very good .I prefer it for listening calls instead.
308,"After 3 months usage battery levels are unstable, While charging it is showing 0 after some time it will be 100%, when u remove the charger, again it is showing 0%."
309,"Thanks Boat and and thanks to Amazon, In this price range i challenge no one others provide this kinds of quality and specially i am impressed with sound quality and battery backup that is our of imagination, i received headphone and playing songs for last 6days randomly 3-4hr still my charger is 67%. I think boat give us wrong information that 14hrs playback but i think its gives backup more then 14hrs. Before this Boat Headphone i used more then 8-9 brands headphone even sumsung level u price 2100 but all headphone have same battery problem but this Boat Headphones seriously its touched my imagination  battery backup and sound quality....Thanks a ton for this product.... love it lot."
310,Good earbuds I will give you review after buying 3-4 months it is very good earbuds!😉
311,"                    The media could not be loaded.
                



 Pickup from charger box is very difficult Unless you have nail 💅"
312,People couldn't hear me during calls . Sound quality is okayy
313,Good sound quality.. but not good noise cancellation..
314,"I brought this product  and I used still now for only music purpose (music purpose is very good ) but the other issue is mic problem after I using that some members not hear my voice clearly and they told me that my is very slowly , I claim my warranty but no use after they replaced another product . Think before once before buying."
315,"It has 0 noise cancellation, audio latency is at it's top, therefore not recommended."
316,Why sound is not coming from left one is it defective
317,"Sound quality acha hai , design thik thak hai, noise cancellation bohot acha hai,charge vi thik thak deta hai,acha hai is dam mein,aap lene ke bad  apsos nhi koroge itna keh sakta hu 👍🏻"
318,Just good 🙌
319,It is absolutely lightweight and comfortable to wear. Easy to set up and use. The battery indicator LED on the case is very helpful. I use it mainly for listening to audio while walking around so it serves the purpose very well. Tried WhatsApp call with it but the other side said there was a lot of feedback and echo from my end so am not using it for calls. But totally happy with it as a comfy companion for walks using one ear only and for doing chores around the house with these on.
320,"The earbuds are really good and it is noise cancellation. Earbuds box is a bit delicate type like a bit near the cap, the cap is moving little. But other then that it works well and battery lasts long. The blue earbuds colour it's good and elegant."
321,I liked the quality of sound and noise cancellation. It's also connecting well with my LED.... Great experience
322,The name says it all Boat 👌
323,Yes like it
324,Good product
325,No noise cancellation and bass is breaking if i listen at high volumeUnfortunately no refund providedOnly replaceBetter to try other products with noiice canclel
326,50-50
327,Good
328,"                    The media could not be loaded.
                



 Sound kharab haiNahi chalt hai"
329,Best eardopes in small budget
330,Bass is not comftable battry life is ok
331,"After using them for almost 1 month, here is the review. It's good just for listening music, watch movie only for listing purpose only. When it comes to voice call connectivity is an issue. Otherside person don't get your voice properly. I faced this issue so don't talk to anyone using them."
332,Good but I dnt like much ok ok .....
333,I like it
334,"Buds sometimes automatically disconnect, sound qualify poor, battery is good"
335,Left side bud is not working properly
336,Osm parfact
337,Super nice
338,Bass nyc but calling prblm
339,Sometimes they will disconnect without any reason and again connects automatically this is the only bad thing about these.
340,Sound quality ठीक-ठाक hai lekin battery backup achcha hai is range mein achcha product hai
341,It is good to see but the effects is not good and the income call and out going call are not cleared.
342,Lovely earbuds for the price. The battery is a little weak however I have no problems when I’m using the earbuds it’s just that the case discharges very fast in my opinion. If I leave the case with earbuds in for overnight it goes from 76 to 42. But they have great music quality & good noise cancellation as well. Definitely worth it for the price
343,"Music listening can't be that Great, average. You can attend calls, sometimes calling person can complaint the voice is low at our end...3.5 stars."
344,Uncomfortable for long time.
345,Expected more and disappointed with sound quality
346,ear not fitting
347,Charging capacity is very worst
348,Battery good value for money
349,Issue with pairing sometimes
350,Sound & battery backup is good mic is not too good
351,"Every thing is good, but calling is not good. Sound quality is also good. Calling sound is not proper, so I'm disappointed 😞"
352,Dislike
353,Pathetic
354,Little ear pain will be there
355,Communication problems others people can't hear properly my voice
356,"Good sound, fell many time but no damage, and continue good sound"
357,Good items
358,Quality of product is Good. Bass is awesome.Mic has bad performance. Caller can not hear our voice loudly.
359,I have one year warranty but my left side eardopes not working. Please advise how can I repair this. Please advise
360,
361,Sound quality is okay but these are very weak as these are broken very soonVery disappointed ☹️😞
362,Normal
363,One day I was just looking in amazone then I was amazed to amazing thing things just like this product which I got very good in low price I returned it because it was more used
364,Thik thak hai bhaiAur kya chahiye
365,👍👍
366,Good
367,Good quality
368,Case of head phone is very delicate n loose. That is need to take care
